name,type,model,complete_prompt,likes,retweets,bookmarks,date,url
"Bedroom Reclining Blue Bustier Gucci",image,Nano Banana,"{""photorealistic_indoor_reclining_portrait"",""style"":""Natural editorial portrait lifelike texture minimal tasteful retouching"",""subject"":{""category"":""human"",""gender_presentation"":""female"",""ethnicity"":""East Asian"",""age_bracket"":""young_adult"",""body"":{""build"":""slim with realistic proportions"",""bust"":""fuller bust natural C–D cup proportional to frame gentle natural slope supportive shaping—no extreme push-up"",""skin_tone"":""light neutral with natural variation""},""pose"":{""orientation"":""reclining on back relaxed"",""right_arm"":""raised above head fingers lightly touching hairline"",""left_arm"":""bent across torso hand resting on midriff"",""head"":""slightly tilted toward camera left""},""face"":{""shape"":""oval with mild asymmetry and natural cheek volume"",""expression"":""soft and open"",""gaze"":""direct to camera""},""eyes"":{""description"":""natural-size lively but realistic"",""color"":""neutral gray-blue low saturation"",""details"":{""sclera_texture"":""fine veins and faint tear meniscus on lower lid"",""catchlights"":""two soft rectangular window reflections about 10% of iris width"",""specular_quality"":""satin no glassy glare"",""iris_texture"":""visible stromal fibers and subtle color noise""}},""makeup"":""sheer base preserving pores soft peach blush brown mascara/liner taupe eyeshadow hydrated nude lips"",""hair"":{""length"":""long"",""style"":""half-up with bun slight wave a few flyaways visible"",""color"":""natural black""},""wardrobe"":{""outfit"":""blue top with Gucci shorts"",""top"":""powder-blue cropped bustier with sweetheart neckline and structured cups off-shoulder or slim straps tasteful cleavage opaque lined fabric subtle corset seams cropped length reveals a sliver of midriff"",""bottom"":""Gucci blue GG-monogram denim shorts small-scale jacquard navy/indigo on blue correct GG orientation no extra text"",""accessories"":{""jewelry"":""thin black velvet choker with tiny pendant small stud earrings simple rings"",""wrists"":""white fabric scrunchie on right delicate bracelets on left""}}},""environment"":{""location"":""bedroom"",""set"":""plush bed with slightly wrinkled off-white linens and pillows""},""lighting"":{""scheme"":""window key + sheet bounce"",""source"":""large window through sheer curtains or 120cm softbox with double diffusion"",""quality"":""very soft with defined direction"",""direction"":""45° from camera right and slightly top white bedding as fill about 1.5 stops under key"",""temperature"":""5200K""},""camera"":{""sensor"":""full-frame"",""lens"":{""focal_length_mm"":85},""distance_m"":1.8,""exposure"":{""aperture_f"":3.2,""iso"":200,""shutter_s"":0.005},""focus"":{""target"":""near eye"",""depth_of_field"":""moderate eyes and bust plane in focus bedding softly blurred""}}}",816,74,860,2025-10-08,https://x.com/IamEmily2050/status/1976068430798389550
"Black White Blue Lingerie Backlight",image,Nano Banana,"{""shot"":""Full-body vertical portrait 9:16 subject in 3/4 profile toward camera"",""subject"":{""age"":""adult woman 25+"",""pose"":""weight on left leg with right knee slightly crossed slight torso twist head angled down so hair shadow softens face""},""wardrobe"":""opaque BLUE lace bra and matching bikini briefs no sheer fabric tasteful fashion lingerie"",""breast_view"":""Covered cleavage contour shaped by opaque bra natural proportions camera height slightly above bust with a gentle downward tilt"",""environment"":""minimalist apartment interior sheer curtains at left with balcony rails visible"",""lighting"":""strong backlight from window left soft rim along shoulders/abdomen low-key with gentle halation"",""camera"":{""focal_length"":""55mm look"",""aperture"":""f/2.2"",""distance"":""3.2m"",""angle"":""slightly above eye level tilt −5°"",""framing"":""head-to-toe in frame toes visible""},""color_grade"":""BLACK & WHITE global grade with SELECTIVE COLOR only on underwear in blue"",""selective_color"":{""mask_target"":""bra_and_briefs_only"",""blue_palette_hex"":[""#1E3A8A"",""#2563EB"",""#60A5FA""],""rule"":""no other hues anywhere all else strictly monochrome""}}",2986,182,0,2025-09-24,https://x.com/IamEmily2050/status/1970778635738198450
"Kitchen Party Banana Theme",image,Nano Banana,"{""prompt"":""A candid vibrant photograph of a lively social gathering in a cozy well-used kitchen. The focal point is a cheerful woman with a subtle smile dressed casually in a bright green tank top and colorful patterned shorts. She is actively cooking at the stove holding a spatula over a frying pan with sizzling food. Around her guests are interacting joyfully. To the left a man raises a camera the flash firing capturing the moment. The countertop is a delightful chaos of party food: an open pizza box a large bowl full of fresh red strawberries various bottles plates and utensils."",""generation_parameters"":{""style"":{""type"":""photorealistic"",""modifier"":""banana-aesthetic"",""modifier_details"":{""description"":""Infuse the scene with a surreal whimsical and slightly tropical banana theme. This should manifest as: 1 A subtle warm yellow color grading over the entire image reminiscent of banana peel hues. 2 The pattern on the central woman's shorts should be a stylized banana print. 3 A single perfectly peeled banana should be impossibly but artfully placed on the countertop next to the strawberries as if it's a prized part of the feast.""}},""composition"":{""shot_type"":""medium shot"",""focus"":""shallow depth of field focusing on the woman at the stove""},""lighting"":{""key_light"":""direct bright on-camera flash creating sharp highlights on the foreground subjects"",""ambient_light"":""warm soft indoor kitchen lighting from overhead lights""}}}",493,25,0,2025-09-30,https://x.com/IamEmily2050/status/1972991712407744820
"Night Steps White Wings Portrait",video,Veo3,"{""format"":""nighttime urban portrait on metal steps"",""primary_camera_motion"":""single slow handheld push-in from medium to tight overhead 3/4 angle one motion only"",""lens"":""26–28mm equiv smartphone-front feel"",""exposure"":""dim ambient with on-camera flash look retain highlight detail on white wings"",""shutter_look"":""1/48s cinematic with mild motion blur"",""aperture_look"":""f/2.2 shallow DOF soft halation on speculars"",""subject"":{""character_string"":""Young adult woman with long black hair and straight fringe pale makeup with soft blush seated curl on green metal steps. She wears a black blazer over light dress/tulle that pools on the ground chunky brown platform oxfords and large white feathered costume wings. She sits inward hands clasping the shoe laces looking down—quiet reflective posture."",""mood"":""melancholic delicate ethereal but grounded PG-13""},""scene"":{""location"":""back-alley stoop with green-painted steel stairs cracked pavement small strip of grass and stones"",""time"":""night"",""lighting"":""key: on-camera flash pop feel fill: cool streetlamp spill camera-left background falls to shadow"",""weather"":""dry pavement with slight humidity sheen""},""visual_details"":{""beats"":[{""time"":""0.0-2.5s"",""action"":""Begin medium framing from above slow push-in starts as she sits curled wings slightly splayed."",""physics"":""loose hair shifts subtly feathers quiver from a faint breeze""},{""time"":""2.5-5.0s"",""action"":""She tightens a lace and exhales chin tilts a little eyes glance down wings remain still."",""physics"":""cloth compresses at knees tulle trail settles with micro ripples""},{""time"":""5.0-8.0s"",""action"":""Camera eases into a tight portrait she lifts her gaze a touch toward lens then closes eyes softly hold on the quiet."",""physics"":""hand tremor minimal specular roll on feathers and shoes remains stable""}]}}",314,29,0,2025-10-03,https://x.com/IamEmily2050/status/1973970482967032139
"Concrete Corridor Two Students",video,Veo3,"{""shot"":{""type"":""single_continuous_observational"",""camera_position"":""high left corner of a concrete corridor landing looking down a sloped passage toward two students standing in a pocket of warm light near a wall"",""camera_motion_primary"":""slow diagonal push-in from high wide to slightly closer high-angle"",""motion_path"":""start 8m away at 3m height near ceiling conduit end 5m away at 2.5m height holding high-angle framing"",""tilt"":""subtle 3° downward tilt maintained"",""stabilization"":""gimbal-stable with natural micro-bob < 1.5%""},""subject"":{""characters"":""two high-school students: girl in red varsity-style sweater black skirt and boots boy in light-blue shirt dark pants white sneakers grey backpack phone loose in boy's hand"",""blocking"":""they face each other by the wall boy leans slightly hand grazing face girl stands steady hands near chest"",""environment"":""minimalist raw-concrete passage with tiled panels wall sconces overhead conduit soft spill of warm light amid cool ambient""},""scene"":{""time_of_day"":""late afternoon transitioning to blue hour indoor ambient"",""lighting"":""cool cyan ambience from concrete small tungsten sconces create an amber pool around the pair gentle falloff across the corridor"",""atmosphere"":""quiet cavernous reverb faint dust motes in warm pool""},""visual_details"":[{""time"":""0.0-2.5s"",""beat"":""Establish the empty concrete geometry—long sloped passage overhead conduit wall tiles. The pair is distant centered low-right almost lost in space.""},{""time"":""2.5-5.5s"",""beat"":""Push-in slowly. The warm pool isolates them. Boy rubs his eye phone hangs at his side. Girl inclines her head steady supportive.""},{""time"":""5.5-8.0s"",""beat"":""Settle slightly closer but remain high-angle. Subtle breath shoe shift echo the moment lingers—intimate but observed from a distance.""}]}",383,38,0,2025-09-23,https://x.com/IamEmily2050/status/1970568341296423210
"Japanese Street Mount Fuji",video,Veo3,"{""shot"":""Forward dolly along a quiet Japanese residential street toward Mount Fuji on a bright summer day."",""subject"":""A lived-in Japanese street with wooden houses stone walls utility poles and overhead cables two slow cars lush trees and Mount Fuji dominating the horizon beneath a deep cobalt sky."",""scene"":{""environment"":""Sunlit neighborhood lane clean asphalt with painted lines modest shop signs rendered as abstract shapes distant town layered along Fuji's foothills."",""lighting"":""High-noon summer light with crisp shadows subtle atmospheric haze over Fuji gentle specular glints on cables and car roofs.""},""visual_details"":[{""time"":""0s–2.5s"",""beat"":""Establish the lane: foreground utility cables and poles frame the view heat shimmer over asphalt cicada-summer stillness."",""action"":""Camera begins a steady centerline push-in depth-of-field favors mid-street Fuji softly present.""},{""time"":""2.5s–5s"",""beat"":""A compact car rolls toward camera and passes on the left leaves flicker light flashes along the cables."",""action"":""Single forward dolly continues brief focus rack mid-street → foreground cables → back to Fuji.""},{""time"":""5s–8s"",""beat"":""Fuji grows prominent small clouds drift a pair of birds crosses frame as wires gently oscillate. Street clears."",""action"":""Dolly completes into a wider view of Fuji hold on a clean composition for the final half-second.""}],""cinematography"":{""camera_language"":""One primary motion: straight forward dolly along the road's centerline."",""lens_feel"":""40mm spherical T5.6 for moderate DOF natural perspective minimal distortion."",""movement"":""Constant velocity with slight ease-in/ease-out only at start/end."",""grade"":""Crisp summer anime-real aesthetic mild bloom on high speculars gentle filmic contrast.""}}",266,28,0,2025-09-24,https://x.com/IamEmily2050/status/1970661540920729915
"Girls Night Stone Arcade Selfie",video,Veo3,"{""format"":""selfie vlog in a stone-arch arcade at golden hour"",""primary_camera_motion"":""handheld selfie push-in with slight arc-left one motion only"",""stabilization"":""natural handheld micro-bob retained"",""lens"":""24mm equiv mild wide selfie perspective"",""subject"":{""character_string"":""Three late-20s friends in a warm-lit medieval-style market arcade. Girl A camera holder right: light skin dark hair in double space buns with two face-framing strands hoop earrings white sleeveless blouse short pearl necklace + pendant glossy neutral lipstick pale pink manicure. Girl B center: light skin curly brunette hair in messy high bun freckles black overshirt small pearl choker bright smile. Girl C left background: light skin long straight blonde hair white long-sleeve dress playful shy pose with hand at cheek."",""wardrobe_notes"":""clean casual no logos tasteful jewelry"",""mood"":""joyful candid weekend energy""},""scene"":{""location"":""covered stone arcade with Romanesque arches and chandeliers"",""time"":""late afternoon to early evening"",""crowd"":""softly bustling background of shoppers and friends"",""lighting"":""2700K chandelier key with soft window/storefront fill warm speculars on hair and jewelry"",""weather"":""dry interior""},""visual_details"":{""beats"":[{""time"":""0.0-2.5s"",""action"":""Girl A raises phone for selfie and steps forward Girl B leans in from left both smile shallow DOF keeps faces crisp while crowd stays soft."",""physics"":""hair micro-sway earrings jitter subtly with motion"",""dialogue"":""Girl A: 'Girls night!'""},{""time"":""2.5-5.0s"",""action"":""Small arc-left push reveals repeating arches and chandelier Girl B laughs Girl A glances at lens Girl C peeks from back-left playful wave."",""physics"":""handheld micro-bob necklaces settle crowd parallax left-to-right""},{""time"":""5.0-8.0s"",""action"":""Group bunches closer to lens for a cheerful hold Girl A places hand to chest showing nails Girl B beams Girl C leans in end on a stable smiling freeze for last 0.5s."",""physics"":""skin and cloth compress naturally hair strands drift then settle""}]}}",265,21,0,2025-10-03,https://x.com/IamEmily2050/status/1973958992742556073
"Medieval Castle Epic Landscape",video,Veo3,"{""format"":""epic medieval landscape reveal"",""primary_camera_motion"":""single slow dolly forward along the dirt path toward the hilltop castle one motion only"",""lens"":""24–28mm equiv wide grounded at ~1.5m height"",""subject"":{""character_string"":""Environment subject: a fortified stone castle with steep central spire and multiple round turrets perched on a rocky hill overlooking a rustic village of timber cottages and thatched roofs a winding dirt path with short cut posts and tall grasses leads from foreground to village wildflowers and meadow textures flank the path distant conifer ridges under heavy storm clouds."",""mood"":""majestic ominous awe-struck""},""scene"":{""location"":""alpine foothills or old-world valley"",""time"":""late afternoon before a storm"",""weather"":""low fast-moving storm clouds intermittent sun breaks"",""lighting"":""soft cool skylight with pockets of warm rim light on castle stone and meadow""},""visual_details"":{""beats"":[{""time"":""0.0-2.5s"",""action"":""Begin low centered on the rutted path with posts guiding perspective forward dolly starts grasses sway in the breeze village comes into view mid-ground."",""physics"":""grass blades bend with steady wind small dust skitters along the track""},{""time"":""2.5-5.0s"",""action"":""Approach the village castle mass grows dominant above a brief sun break reveals specular highlights on wet stone."",""physics"":""chimney smoke lifts and shears flags on turrets flutter consistently""},{""time"":""5.0-8.0s"",""action"":""Close on the hill camera settles in a composed hero frame with the castle towering storm clouds roll overhead with subtle god-rays breaking through."",""physics"":""cloud advection left-to-right light shafts brighten then fade meadow movement dampens""}]}}",330,27,0,2025-10-03,https://x.com/IamEmily2050/status/1973968439732793653
"Sci-Fi Valley City Hovering Disc",video,Veo3,"{""shot"":{""type"":""single_continuous_establishing"",""camera_position"":""low ridge above a frost-blue valley city facing a colossal baroque-disc craft hovering just above the skyline"",""camera_motion_primary"":""very slow push-in with a gentle 6° upward tilt over time"",""motion_path"":""start 120m from the craft's rim at 12m elevation end 70m from rim at 20m elevation subtle arc toward centerline"",""stabilization"":""gimbal-stable micro-shake < 2%""},""subject"":{""foreground"":""dark snow-dusted rocks and a broken parapet silhouette at frame bottom"",""midground"":""ornate valley city of domes and spires connected by arched bridges river gorge with low-lying mist"",""principal"":""enormous hovering saucer-megastructure with gothic/temple filigree luminous window band around rim cathedral-like underside converging into a central finial"",""background"":""serrated mountain range in blue hour star-dotted sky with faint dawn glow at horizon""},""scene"":{""time_of_day"":""blue hour pre-dawn"",""weather"":""dry cold high pressure"",""atmosphere"":""layered ground mist hugging streets and river strong aerial perspective"",""lighting"":""cool ambient skylight steel-blue with faint warm horizon subtle warm highlights from rim windows reflecting on metal filigree""},""visual_details"":[{""time"":""0.0-2.5s"",""beat"":""Wide reveal of the valley city: spires puncture fog arched bridge spans the gorge. Camera begins a slow push-in frost texture and parapet silhouette anchor the lower frame.""},{""time"":""2.5-5.5s"",""beat"":""The hovering disc dominates frame. Read the gilt filigree along the rim thousands of tiny windows shimmering. Parallax slides the nearest spires across the craft's underside geometry.""},{""time"":""5.5-8.0s"",""beat"":""Approach beneath the rim the cathedral-like underside reveals layered vaults converging to a central finial suspended meters above a plaza. Rim lights flicker subtly ground mist curls upward. Hold on the awe.""}]}",134,15,0,2025-09-23,https://x.com/IamEmily2050/status/1970536513881751948
"Biomechanical Eye Lens Assembly",video,Veo3,"{""shot"":""Macro push-in through an exploded lens stack blueprint that assembles into a living biomechanical eye."",""subject"":""A cybernetic ocular assembly: floating glass elements wireframe schematics and a human eye with metallic micro-iris and filament lashes."",""scene"":{""environment"":""Black void with faint blueprint gridlines and technical wireframes soft volumetric dust motes."",""lighting"":""Cool rim and top light with specular highlights on glass subtle cyan emissive lines tracing the schematics faint subsurface glow in the sclera.""},""visual_details"":[{""time"":""0s–2.5s"",""beat"":""Exploded lens stack hangs in space. Wireframe rings pulse on labeling contours no text. Micro-springs and screws drift constrained to rails."",""action"":""Camera begins slow dolly forward along optical axis shallow DOF reveals front element sharp background eye soft.""},{""time"":""2.5s–5s"",""beat"":""Elements magnetically align. Each lens snaps into place with tiny shimmer and refractive flare iris blades unfold like a mechanical flower."",""action"":""Camera continues single forward push focus racks from front element to mid stack to iris.""},{""time"":""5s–8s"",""beat"":""Blueprint lines wrap the human eye converting from wireframe to organic detail. Final click: lens seats over cornea iris blinks once. A concentric wave ripples outward."",""action"":""Camera completes push-in to extreme macro of the pupil end on locked steady close-up.""}]}",169,19,0,2025-09-24,https://x.com/IamEmily2050/status/1970658494631288840
"Blue Alpine Gentian Mountain Macro",video,Veo3,"{""shot"":{""film_language"":""macro close-up that becomes a tight medium close-up"",""primary_camera_motion"":""very slow dolly-in with a subtle 3° tilt-up"",""motion_path_meters"":0.5,""stabilization"":""locked slider no handheld wobble""},""subject"":{""name"":""Blue Alpine Gentian Cluster"",""description"":""a small clump of blue alpine wildflowers sprouting from a mossy rock ledge dew-beaded blades of grass and exposed roots"",""pose_or_behavior"":""gentle sway from mountain breeze dew droplets quiver and one releases and falls""},""scene"":{""environment"":""misty high-mountain valley at blue hour"",""location_details"":""rocky ledge above a deep ravine distant river glows cyan scattered warm lights far below"",""time_of_day"":""pre-dawn/late dusk blue hour"",""weather"":""light fog recent drizzle faint moving mist layers""},""visual_details"":{""timeline_beats"":[{""t"":""0.0-2.5s"",""action"":""Begin focused on dew-beaded grass and exposed roots at the base of the Blue Alpine Gentian Cluster. Shallow DOF background melts into cool bokeh. Start slow dolly-in."",""focus"":""roots/dew macro crisp flowers and valley defocused""},{""t"":""2.5-5.5s"",""action"":""Rack focus up the stem to the Blue Alpine Gentian Cluster. Micro breeze ripples leaves a single dew droplet swells on a blade."",""focus"":""flower petals sharp background valley heavy bokeh""},{""t"":""5.5-8.0s"",""action"":""Maintain dolly-in and add subtle tilt-up to reveal the misty valley and cyan river glow behind the Blue Alpine Gentian Cluster. The droplet releases and falls in frame. Hold for a 0.5s stillness on the final composition."",""focus"":""flowers remain tack-sharp distant lights bloom softly""}]}}",416,32,0,2025-09-25,https://x.com/IamEmily2050/status/1971138361760026909
"Italian Siblings Singing Oprah Theme",video,Veo3,"{""shot"":{""duration"":8,""aspect_ratio"":""16:9"",""composition"":""medium-wide eye-level 35mm lens"",""camera_motion"":""slow 25cm dolly-in for intimacy"",""frame_rate"":24,""film_grain"":0.06},""scene"":{""setting"":""cozy children's bedroom in an Italian home"",""time_of_day"":""late-afternoon window light"",""atmosphere"":""warm soft shadows daylight filtering through sheer curtains""},""subject"":{""description"":""native Italian siblings sitting cross-legged on a colourful duvet facing camera"",""wardrobe"":""brother: striped t-shirt & jeans sister: floral dress with hairband""},""visual_details"":{""action"":""they share a printed lyric sheet breathe together then sing the Oprah opening theme perfectly in unison smiling and nodding to stay on beat""},""cinematography"":{""lighting"":""key: diffused window left fill: white-card bounce right rim: soft practical lamp in background"",""style"":""naturalistic light Italian interior realism"",""tone"":""uplifting wholesome""},""audio"":{""sfx"":[""page_turn_soft"",""light_breath_intake""],""ambience"":""quiet_room_tone"",""music"":{""track"":""oprah_theme_child_duo"",""bpm"":108,""mix_db"":-12}}}",579,54,0,2025-07-24,https://x.com/IamEmily2050/status/1948474673622040937
"Alien Coastline Ringed Moon",video,Veo3,"{""subject"":{""verbatim"":""Alien tropical coastline at night with palm islets tessellated ocean surface and a giant geodesic ringed moon in the sky.""},""shot"":{""type"":""establishing wide"",""framing"":""low shoreline vantage camera ~0.6m above wet tessellated water islets and palms centered mid-distance"",""lens"":""24mm spherical shallow distortion kept natural"",""motion"":""slow push-in dolly forward from shore toward islets no secondary moves""},""scene"":{""environment"":""calm surf over triangular mosaic tiles that shimmer faint gold black lava rocks sparse palms on tiny islets misty blue mountains far background starry sky with a pale sun on horizon and a massive translucent geodesic ringed moon overhead"",""time_of_day"":""blue hour / night"",""weather"":""clear slight haze over water gentle onshore breeze""},""visual_details"":{""beats"":[{""time"":""0.0s–2.7s"",""action"":""Waves lap over the tessellated shore golden lines glint as foam recedes foreground rocks pass frame edges creating parallax."",""focus"":""texture of wet tiles and foam micro-ripples""},{""time"":""2.7s–5.4s"",""action"":""Push-in reveals palm islets moonlight back-rim on palm fronds distant mountains emerge through haze."",""focus"":""silhouetted palms against misty ridgelines""},{""time"":""5.4s–8.0s"",""action"":""Geodesic ringed moon dominates upper frame gold lattice reflections ripple across water final hold for 0.5s for a clean endpoint."",""focus"":""celestial dome and shimmering water grid""}]}}",272,22,0,2025-10-07,https://x.com/IamEmily2050/status/1975392471027941720
"Highland Red Deer Stag Portrait",video,Veo3,"{""shot"":{""id"":""S1"",""type"":""single_continuous"",""shot_size"":""medium-long → medium"",""camera_motion"":""slow dolly-in along the moor toward the stag locked horizon no pan/orbit"",""camera_height_m"":1.2,""lens"":""85mm prime"",""shutter"":""180°"",""aperture"":""T2.0"",""stabilization"":""dolly/track""},""subject"":{""character"":""Solitary red deer stag standing on wind-brushed heath at the crest of a moor three-quarter toward camera distant blue-grey mountains and misted glen behind."",""mood"":""majestic hushed winter-cool""},""scene"":{""location"":""Highland moorland valley"",""weather"":""overcast ceiling with thin valley mist"",""lighting"":""giant softbox sky cool top-light with faint rim from open horizon low-contrast shadows""},""visual_details"":{""timeline"":[{""t"":""0.0–2.5s"",""action"":""Establish the stag against soft mountains grasses sway gently faint breath plume visible ears flick once.""},{""t"":""2.5–5.5s"",""action"":""Stag turns head toward lens nostrils flare mane fur ripples with a breeze takes a small weight-shift step.""},{""t"":""5.5–8.0s"",""action"":""Stag holds a steady gaze past camera breath condenses again and drifts dolly-in settles on clear eye catchlight.""}]}}",338,35,0,2025-09-28,https://x.com/IamEmily2050/status/1972265647083307399
"Black White Grid Tower Canal",video,Veo3,"{""shot"":{""description"":""Noir night city of tall perfectly gridded towers rising around a calm canal countless window cells glow like stars under a dense starfield."",""camera_motion"":""single slow dolly-in from low angle over the canal surface toward the central tower no pans/zooms/orbits"",""shot_size"":""wide establishing to slightly tighter wide"",""lens"":""35mm equivalent"",""aperture"":""f/4"",""shutter"":""1/48"",""iso"":""200"",""white_balance"":""neutral"",""focus_style"":""deep focus hyperfocal set so buildings remain sharp while water surface holds fine ripples""},""subject"":{""name"":""grid-tower skyline"",""look"":""rectilinear monoliths with dense square window lattice minimal antennas harsh verticals no signage"",""behavior"":""building lights twinkle subtly at random like distant stars""},""scene"":{""environment"":""symmetrical business district at night canal or flooded plaza in foreground with mirrored reflections low mounds of dark vegetation along banks"",""time_of_day"":""deep night"",""weather"":""clear sky with many stars dry air faint haze at base of towers"",""grade"":""strict black-and-white silver gelatin look with high contrast and soft halation on bright windows""},""visual_details"":{""beats"":[{""time"":""0.0–2.5s"",""beat"":""Hold the grand centered one-point perspective starry sky static gentle ripple rings travel across the canal reflection.""},{""time"":""2.5–5.0s"",""beat"":""Begin slow forward dolly parallax increases on banks a few window cells flicker softly no shimmering artifacts.""},{""time"":""5.0–8.0s"",""beat"":""Ease closer to the central tower reflections deepen twinkle rate slows settle into a composed wide with verticals perfectly upright.""}]}}",164,6,0,2025-10-03,https://x.com/IamEmily2050/status/1973679777921048763
"CCTV Donkey Baboon Gas Station",video,Veo3,"{""style"":""Night-vision CCTV realism monochrome low-lux grain fixed security cam perspective"",""shot"":{""duration"":8,""composition"":""static ultra-wide shot high-mounted CCTV cam ≈9m up 28mm equiv. entire forecourt in frame—donkey + baboon never clipped"",""camera_motion"":""none locked"",""frame_rate"":""24 fps"",""resolution"":""960 × 540 simulated feed"",""film_grain"":""coarse digital noise low-light speckle""},""timeline"":[{""time"":""0–2s"",""action"":""Grey donkey enters frame left at calm walking pace olive baboon sits upright astride just behind withers gripping short rope around donkey's neck.""},{""time"":""2–6s"",""action"":""Pair crosses front of idle fuel pumps. Donkey's back shows slight sag under baboon's weight gait shifts to mild lateral sway. Baboon counter-balances with tail lift and subtle torso lean occasional head-turn toward minimart.""},{""time"":""6–8s"",""action"":""They exit frame right canopy lights cast elongated twin shadow camera holds empty forecourt two beats.""}],""subject"":{""donkey"":{""appearance"":""medium-size grey donkey dusty coat calm demeanor"",""physics"":""hooves strike concrete with realistic cadence slight spine dip proportional to ~25kg load""},""baboon"":{""appearance"":""adult olive baboon ≈25kg seated squarely grasping rope with both hands"",""physics"":""maintains upright posture tail used as stabiliser minor torso shifts sync with donkey's step cycle""}},""scene"":{""location"":""deserted petrol-station forecourt pumps dark minimart shutters down"",""time_of_day"":""02:30 AM late night"",""atmosphere"":""still air faint litter rustle distant highway hum""},""lighting"":{""primary"":""overhead canopy fluorescents 6000K fall-off beyond forecourt"",""secondary"":""single street-lamp rear right creates long dual shadow""},""overlay"":{""timestamp"":""2025-07-27 02:30:15"",""position"":""top-left"",""style"":""white monospace digits semi-transparent 70%""}}",1245,133,0,2025-07-27,https://x.com/IamEmily2050/status/1949455500359475461
